class	ld_1_1	ld_1_2	ld_1_3	ld_1_4	ld_1_5	ld_1_6	ld_1_7	ld_1_8	ld_1_9	ld_1_10	ld_1_11	ld_1_12	ld_1_13	ld_1_14	ld_1_15	ld_1_16	ld_1_17	ld_1_18	ld_1_19	ld_1_20	ld_1_21	ld_1_22	ld_1_23	ld_1_24	ld_1_25	ld_1_26	ld_1_27	ld_1_28	ld_1_29	ld_1_30	ld_1_31	ld_1_32	ld_1_33	ld_1_34	ld_1_35	ld_1_36	ld_1_37	ld_1_38	ld_1_39	ld_1_40	ld_1_41	ld_1_42	ld_1_43	ld_1_44	ld_1_45	ld_1_46	ld_1_47	ld_1_48	ld_1_49	ld_1_50	ld_1_51	ld_1_52	ld_1_53	ld_1_54	ld_1_55	ld_1_56	ld_1_57	ld_1_58	ld_1_59	ld_1_60	ld_1_61	ld_1_62	ld_1_63	o_h	ld_2_1	ld_2_2	ld_2_3	ld_2_4	ld_2_5	ld_2_6	ld_2_7	ld_2_8	ld_2_9	ld_2_10	ld_2_11	ld_2_12	ld_2_13	ld_2_14	ld_2_15	ld_2_16	ld_2_17	ld_2_18	ld_2_19	ld_2_20	ld_2_21	ld_2_22	ld_2_23	ld_2_24	ld_2_25	ld_2_26	ld_2_27	ld_2_28	ld_2_29	ld_2_30	ld_2_31	ld_2_32	ld_2_33	ld_2_34	ld_2_35	ld_2_36	ld_2_37	ld_2_38	ld_2_39	ld_2_40	ld_2_41	ld_2_42	ld_2_43	ld_2_44	ld_2_45	ld_2_46	ld_2_47	ld_2_48	ld_2_49	ld_2_50	ld_2_51	ld_2_52	ld_2_53	ld_2_54	ld_2_55	ld_2_56	ld_2_57	ld_2_58	ld_2_59	ld_2_60	ld_2_61	ld_2_62	ld_2_63
1	347.83206939697266	336.37847900390625	2.278469466432398e-07	380.9926986694336	321.89443588256836	-0.127256590873003	408.2115173339844	280.34817695617676	-0.1894572302699089	396.33888244628906	241.52446746826172	-0.24162212759256363	366.4745330810547	222.3396635055542	-0.2948717325925827	389.647216796875	223.47005367279053	-0.11025441437959671	393.96728515625	166.4908790588379	-0.20325665920972824	396.1455535888672	129.37528610229492	-0.26152074337005615	396.55296325683594	98.08244705200195	-0.2992030754685402	358.28807830810547	227.7886962890625	-0.10112499073147774	358.39344024658203	194.21855449676514	-0.2695717290043831	361.95526123046875	233.98670196533203	-0.32031581550836563	365.04215240478516	268.10400009155273	-0.3083452954888344	329.8921203613281	237.67649173736572	-0.10201885923743248	327.0943069458008	215.62768936157227	-0.27272187173366547	336.60552978515625	256.6245746612549	-0.25512490421533585	342.90260314941406	286.57928466796875	-0.19134977459907532	302.4904251098633	251.48162841796875	-0.11068164557218552	300.8566474914551	227.54869937896729	-0.2292722538113594	311.91043853759766	258.12317848205566	-0.1998833790421486	318.8367462158203	282.51800537109375	-0.1426708661019802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	348.91265869140625	344.22969818115234	1.749603342204864e-07	380.3813171386719	321.1160373687744	-0.1107894703745842	404.7657775878906	276.38257026672363	-0.16437489911913872	388.2498550415039	240.50854682922363	-0.2121872529387474	357.16182708740234	222.2793960571289	-0.25969936698675156	384.2481231689453	222.82463550567627	-0.09282167628407478	387.31449127197266	165.7532501220703	-0.17969385534524918	387.0058059692383	130.74834823608398	-0.22889169305562973	385.8891296386719	99.06636714935303	-0.2616764232516289	352.69805908203125	227.1416473388672	-0.09226630814373493	351.87828063964844	195.39533615112305	-0.26097118109464645	357.65716552734375	239.28178310394287	-0.3072637617588043	361.8316650390625	272.2345447540283	-0.2907501608133316	324.9221420288086	237.3629093170166	-0.10049716383218765	319.98905181884766	217.3352336883545	-0.27023566514253616	332.35408782958984	261.1479377746582	-0.24979998171329498	339.8579406738281	289.51148986816406	-0.18335018679499626	298.83453369140625	251.9088077545166	-0.11514000222086906	294.70829010009766	230.2060890197754	-0.22890376299619675	307.1393585205078	261.5255928039551	-0.19693221151828766	314.3176078796387	284.3092918395996	-0.13844897970557213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	348.4825134277344	349.2113399505615	5.974069772207713e-08	375.3017807006836	319.0518379211426	-0.10438685864210129	391.3508987426758	272.9600429534912	-0.15613701939582825	371.35643005371094	237.86932468414307	-0.2044169381260872	338.95484924316406	224.1379451751709	-0.25236576050519943	367.64347076416016	222.4553918838501	-0.0891728550195694	362.91561126708984	164.35461044311523	-0.17432234063744545	358.19549560546875	129.56268310546875	-0.2229931354522705	351.93115234375	99.15109634399414	-0.25538552552461624	337.82588958740234	231.1900234222412	-0.09229100681841373	329.26551818847656	198.3840036392212	-0.25605956465005875	338.8185119628906	241.00865364074707	-0.30022070556879044	346.4324188232422	273.6596488952637	-0.28462542593479156	312.0131301879883	245.09390830993652	-0.10450224950909615	301.35812759399414	223.9482593536377	-0.2675594463944435	317.77149200439453	264.43156242370605	-0.24949675798416138	328.73950958251953	292.5557041168213	-0.1871647797524929	288.6633110046387	263.41532707214355	-0.1234564483165741	277.6633834838867	239.5937204360962	-0.23075439780950546	293.01788330078125	265.6794261932373	-0.20165877789258957	304.04932022094727	287.66407012939453	-0.14795368909835815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	342.6517105102539	355.07758140563965	2.1035802433289064e-08	361.5731430053711	317.18504905700684	-0.11119652912020683	369.80140686035156	269.9160861968994	-0.15673504024744034	343.25599670410156	237.6334047317505	-0.19122932106256485	309.75624084472656	229.00152683258057	-0.21878398954868317	342.9241943359375	220.49205780029297	-0.090975321829319	329.0106964111328	163.5189914703369	-0.17625140771269798	317.1794128417969	130.52551746368408	-0.22929489612579346	305.67779541015625	101.57684326171875	-0.2654236704111099	314.0747833251953	235.43877124786377	-0.08809779770672321	297.4635124206543	202.83791542053223	-0.24343999475240707	312.40116119384766	245.02567291259766	-0.2862158641219139	326.99283599853516	275.8356285095215	-0.27242059260606766	290.50891876220703	253.76976013183594	-0.09611520543694496	275.6980514526367	235.64379215240479	-0.24576551467180252	298.5770034790039	273.51725578308105	-0.2282361164689064	314.99170303344727	297.46012687683105	-0.17088637501001358	270.98827362060547	276.57480239868164	-0.11316324770450592	258.4685516357422	258.97178649902344	-0.20784960687160492	278.49653244018555	282.6558208465576	-0.1794845536351204	293.3847236633301	299.6454906463623	-0.1296917013823986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	333.6189651489258	367.8226661682129	-1.7484705949755153e-07	350.4129409790039	329.52813148498535	-0.11439718678593636	350.5414581298828	280.70606231689453	-0.16590891033411026	318.1826591491699	249.7909641265869	-0.21033360064029694	283.2571792602539	239.17340755462646	-0.25181398540735245	322.1061706542969	230.2666711807251	-0.0758012942969799	300.44342041015625	176.06317520141602	-0.15341844409704208	283.3889579772949	143.86054515838623	-0.20507363229990005	268.3832550048828	116.6550064086914	-0.24232227355241776	294.37625885009766	245.09259223937988	-0.0687183178961277	270.01293182373047	213.96620750427246	-0.22026881575584412	283.1426239013672	250.53179740905762	-0.2719053849577904	298.13669204711914	280.2175712585449	-0.2653609737753868	273.1054496765137	264.9324131011963	-0.07164955884218216	250.6089210510254	246.32472038269043	-0.21654349565505981	270.71313858032227	278.322229385376	-0.20931433886289597	288.37196350097656	302.46150970458984	-0.16092948988080025	257.7308464050293	289.16138648986816	-0.08327754400670528	236.85239791870117	275.4843235015869	-0.18148420751094818	255.1510238647461	294.85013008117676	-0.16569244489073753	272.930850982666	310.3831672668457	-0.12452906370162964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	340.267333984375	362.0682907104492	-7.145373892569751e-08	368.9350128173828	331.4875602722168	-0.13919008523225784	384.9853515625	286.60265922546387	-0.20781424641609192	362.42637634277344	251.5847110748291	-0.26997801661491394	331.35486602783203	228.38529109954834	-0.32998401671648026	362.0205307006836	223.4348487854004	-0.09362400323152542	357.4010467529297	164.15579795837402	-0.19605430215597153	352.1537399291992	127.36398696899414	-0.26373492926359177	347.080078125	93.97421836853027	-0.3075825423002243	330.66226959228516	232.60259628295898	-0.08350365981459618	321.33907318115234	196.31381034851074	-0.2662951871752739	323.8388442993164	237.80427932739258	-0.33196911960840225	330.27305603027344	272.2130584716797	-0.32609720528125763	302.6881790161133	246.31356239318848	-0.08717633597552776	292.77027130126953	222.44999885559082	-0.2629390060901642	303.11912536621094	261.2386894226074	-0.2584824711084366	314.63096618652344	290.14391899108887	-0.20067914575338364	278.6644744873047	264.3464756011963	-0.1007038950920105	269.07073974609375	242.0518684387207	-0.2166929394006729	282.288875579834	269.30105209350586	-0.19430018216371536	294.5609474182129	292.0872688293457	-0.14020692184567451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	346.02439880371094	357.8251647949219	3.455524399953447e-08	377.75634765625	332.2614097595215	-0.1257626786828041	400.86666107177734	289.24681663513184	-0.19291037321090698	385.02540588378906	253.21560859680176	-0.25456923991441727	354.49527740478516	230.96227169036865	-0.3141869679093361	383.1270217895508	220.665864944458	-0.09470606222748756	386.8682098388672	161.09065532684326	-0.19295351207256317	388.15906524658203	124.29353713989258	-0.2517009973526001	388.6585998535156	90.97010135650635	-0.28986961394548416	349.4485855102539	226.83473110198975	-0.09265512228012085	345.7825469970703	189.79718685150146	-0.2715984061360359	349.58282470703125	235.45918464660645	-0.3234100341796875	353.49658966064453	270.7920455932617	-0.30866170674562454	319.22101974487305	239.70800399780273	-0.10227219387888908	314.3826484680176	214.9519157409668	-0.2865425571799278	325.4068374633789	261.2901306152344	-0.267393596470356	333.30554962158203	292.43090629577637	-0.19793003797531128	292.0748519897461	257.8355598449707	-0.1195131205022335	286.9203186035156	235.1442575454712	-0.24792158603668213	300.9834289550781	267.95093536376953	-0.2186296507716179	310.6346893310547	292.39291191101074	-0.1578369140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	344.44995880126953	343.8680934906006	2.107927272732013e-07	379.98443603515625	322.9148197174072	-0.12144946306943893	410.3376770019531	286.8892478942871	-0.1967211216688156	401.93992614746094	252.30302810668945	-0.2682413086295128	371.5029525756836	231.09724044799805	-0.33922742307186127	397.1138000488281	214.39189910888672	-0.11546513065695763	410.3880310058594	156.02431297302246	-0.22864528745412827	418.1980514526367	119.30014371871948	-0.29764553904533386	424.3095397949219	85.99438190460205	-0.34082159399986267	362.557373046875	215.6527805328369	-0.1180223599076271	367.3472595214844	185.2964973449707	-0.3095356151461601	365.10337829589844	233.60745906829834	-0.36178793013095856	364.5859146118164	269.7873115539551	-0.3461790382862091	330.2866744995117	224.46398735046387	-0.13146796077489853	331.73641204833984	207.88272857666016	-0.31386637687683105	336.9109344482422	254.47259902954102	-0.2895754873752594	341.1962127685547	284.8996639251709	-0.21833138912916183	300.31917572021484	240.02483367919922	-0.1533842347562313	300.8750343322754	225.9839630126953	-0.2720450609922409	311.84383392333984	259.9488830566406	-0.23809772729873657	319.2441749572754	283.026123046875	-0.17557575926184654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	353.03314208984375	341.98339462280273	3.0862158695299513e-07	389.23988342285156	328.42872619628906	-0.12672903388738632	423.82328033447266	295.7330131530762	-0.20514533668756485	422.3219299316406	262.2260570526123	-0.27928613126277924	397.3812484741211	235.66928386688232	-0.35010646283626556	416.7692565917969	215.37742137908936	-0.1210765466094017	440.38326263427734	158.31303119659424	-0.2396404892206192	454.19849395751953	123.61460208892822	-0.3068716898560524	465.4564666748047	92.79650688171387	-0.347172774374485	381.1189270019531	214.04803276062012	-0.12347365915775299	393.63792419433594	187.52031326293945	-0.3315550312399864	388.2997512817383	238.37998867034912	-0.3869694024324417	385.28438568115234	274.2466449737549	-0.36759504675865173	347.1088409423828	220.42742729187012	-0.13736070692539215	354.02233123779297	210.8056354522705	-0.34015942364931107	358.3620071411133	260.4414939880371	-0.31860145926475525	362.25791931152344	289.63062286376953	-0.2422477751970291	315.1411819458008	233.40179443359375	-0.15877897292375565	321.50421142578125	223.97104740142822	-0.29407815635204315	332.2456741333008	262.21049308776855	-0.2620663493871689	338.75946044921875	285.1984691619873	-0.19521208852529526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	364.38724517822266	323.4096050262451	-2.1423259966013575e-07	409.53487396240234	304.71296310424805	-0.05661005526781082	445.75286865234375	277.4339962005615	-0.10105260461568832	448.27037811279297	242.93566703796387	-0.14867354929447174	417.87769317626953	218.890643119812	-0.19881559163331985	440.9825134277344	199.6370029449463	-0.0872366912662983	468.94466400146484	146.38794422149658	-0.1915503591299057	486.61293029785156	115.36000728607178	-0.2769007310271263	500.4658508300781	83.92109870910645	-0.3355032205581665	408.3610153198242	195.9941053390503	-0.11070534959435463	426.44779205322266	160.4762363433838	-0.23631584644317627	418.7116241455078	210.80301761627197	-0.27889884263277054	411.5720748901367	241.7607021331787	-0.28705912828445435	376.1509323120117	196.13343715667725	-0.13910852372646332	387.87864685058594	155.4404354095459	-0.25005901604890823	387.51834869384766	204.11071300506592	-0.21279045939445496	384.4844436645508	236.9035291671753	-0.16352154314517975	343.0491256713867	205.39808750152588	-0.17201390862464905	353.8334274291992	166.51363849639893	-0.23240093886852264	361.87252044677734	199.9731731414795	-0.1726701334118843	362.3744583129883	227.91586875915527	-0.11244688555598259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
